ID,MJD,Ref.,Telescope,freq(MHz),Fluence(Jy ms),Observation Length (hr) ,
1*,58623.71696,Niu et al. 2022,FAST,1375,0.075,0.0067,*: Excluded from the period analysis due to the excessively high burst rate.
2*,58623.717,Niu et al. 2022,FAST,1150,0.03,0.0067,†: Excluded from the period analysis due to the incompleteness of the data.
3*,58623.71708,Niu et al. 2022,FAST,1375,0.053,0.0067,
4*,58623.71742,Niu et al. 2022,FAST,1250,0.051,0.0067,
5,58963.76097,Niu et al. 2022,FAST,1375,0.0657,1.5,
6,58963.78509,Niu et al. 2022,FAST,1375,0.0528,1.5,
7,58991.67784,Niu et al. 2022,FAST,1375,0.1071,1.8,
8,58991.67962,Niu et al. 2022,FAST,1405,0.1005,1.8,
9,58991.68036,Niu et al. 2022,FAST,1375,0.081,1.8,
10,58991.69812,Niu et al. 2022,FAST,1400,0.1512,1.8,
11,58991.71118,Niu et al. 2022,FAST,1375,0.1229,1.8,
12,58991.71136,Niu et al. 2022,FAST,1325,0.0589,1.8,
13,58991.7117,Niu et al. 2022,FAST,1405,0.2562,1.8,
14,58991.72894,Niu et al. 2022,FAST,1375,0.1386,1.8,
15,58991.74413,Niu et al. 2022,FAST,1375,0.1421,1.8,
16,59060.48145,Niu et al. 2022,FAST,1375,0.2412,1.83,
17,59060.50483,Niu et al. 2022,FAST,1375,0.1702,1.83,
18,59060.52293,Niu et al. 2022,FAST,1300,0.1675,1.83,
19,59061.50982,Niu et al. 2022,FAST,1375,0.1778,1.38,
20,59061.51334,Niu et al. 2022,FAST,1400,0.1281,1.38,
21,59061.5214,Niu et al. 2022,FAST,1375,0.1224,1.38,
22,59061.5327,Niu et al. 2022,FAST,1400,0.0844,1.38,
23,59061.53363,Niu et al. 2022,FAST,1375,0.194,1.38,
24,59061.53497,Niu et al. 2022,FAST,1375,0.0659,1.38,
25,59061.53636,Niu et al. 2022,FAST,1375,0.0736,1.38,
26,59061.53889,Niu et al. 2022,FAST,1125,0.2122,1.38,
27,59067.46515,Niu et al. 2022,FAST,1300,0.0674,1.55,
28,59067.48435,Niu et al. 2022,FAST,1375,0.278,1.55,
29,59067.5003,Niu et al. 2022,FAST,1170,0.1347,1.55,
30,59067.50751,Niu et al. 2022,FAST,1325,0.1222,1.55,
31,59067.53286,Niu et al. 2022,FAST,1375,0.074,1.55,
32,59069.4937,Niu et al. 2022,FAST,1360,0.143,1.83,
33,59069.49899,Niu et al. 2022,FAST,1375,0.2916,1.83,
34,59069.51279,Niu et al. 2022,FAST,1375,0.1927,1.83,
35,59071.4705,Niu et al. 2022,FAST,1395,0.1458,1.83,
36,59071.48968,Niu et al. 2022,FAST,1375,0.1845,1.83,
37,59073.49506,Niu et al. 2022,FAST,1350,0.1077,1.83,
38,59073.51343,Niu et al. 2022,FAST,1400,0.2056,1.83,
39,59075.45271,Niu et al. 2022,FAST,1115,0.313,1.5,
40,59075.45322,Niu et al. 2022,FAST,1350,0.2098,1.5,
41,59075.47054,Niu et al. 2022,FAST,1330,0.114,1.5,
42,59075.48255,Niu et al. 2022,FAST,1250,0.1577,1.5,
43,59075.49483,Niu et al. 2022,FAST,1300,0.0836,1.5,
44,59077.44749,Niu et al. 2022,FAST,1300,0.211,1.67,
45,59077.44809,Niu et al. 2022,FAST,1340,0.1994,1.67,
46,59077.44849,Niu et al. 2022,FAST,1365,0.2696,1.67,
47,59077.45865,Niu et al. 2022,FAST,1375,0.1323,1.67,
48,59077.45906,Niu et al. 2022,FAST,1350,0.0941,1.67,
49,59077.46485,Niu et al. 2022,FAST,1325,0.1567,1.67,
50,59077.46727,Niu et al. 2022,FAST,1150,0.1289,1.67,
51,59077.46846,Niu et al. 2022,FAST,1350,0.152,1.67,
52,59077.4736,Niu et al. 2022,FAST,1325,0.1074,1.67,
53,59077.47388,Niu et al. 2022,FAST,1350,0.2055,1.67,
54,59077.476,Niu et al. 2022,FAST,1375,0.07,1.67,
55,59077.48858,Niu et al. 2022,FAST,1400,0.1324,1.67,
56,59077.48997,Niu et al. 2022,FAST,1375,0.1155,1.67,
57,59077.49636,Niu et al. 2022,FAST,1325,0.1383,1.67,
58,59077.49651,Niu et al. 2022,FAST,1325,0.0895,1.67,
59,59077.49752,Niu et al. 2022,FAST,1325,0.0942,1.67,
60,59089.42787,Niu et al. 2022,FAST,1375,0.1122,1,
61,59089.43588,Niu et al. 2022,FAST,1400,0.0832,1,
62†,59106.79092, Anna-Thomas et al. 2023,GBT,4000-8000,0.2,4,
63†,59106.89391, Anna-Thomas et al. 2023,GBT,4000-8000,0.49,4,
64†,59106.90345, Anna-Thomas et al. 2023,GBT,4000-8000,0.39,4,
65†,59109.85579, Anna-Thomas et al. 2023,GBT,1100-1800,0.19,6.5,
66†,59109.86334, Anna-Thomas et al. 2023,GBT,1100-1800,0.4,6.5,
67†,59109.88086, Anna-Thomas et al. 2023,GBT,1100-1800,0.36,6.5,
68†,59109.92908, Anna-Thomas et al. 2023,GBT,1100-1800,0.24,6.5,
69†,59109.94361, Anna-Thomas et al. 2023,GBT,1100-1800,0.16,6.5,
70†,59110.04206, Anna-Thomas et al. 2023,GBT,1100-1800,0.2,6.5,
71†,59110.04376, Anna-Thomas et al. 2023,GBT,1100-1800,0.28,6.5,
